grdc_no,lon,lat
253,-50.25,82.25
254,-49.75,82.25
255,-49.25,82.25
256,-48.75,82.25
257,-48.25,82.25
258,-47.75,82.25
259,-47.25,82.25
260,-46.75,82.25
261,-46.25,82.25
262,-45.75,82.25
263,-45.25,82.25
264,-44.75,82.25
265,-44.25,82.25
266,-43.75,82.25
267,-43.25,82.25
268,-42.75,82.25
269,-42.25,82.25
270,-41.75,82.25
271,-41.25,82.25
272,-40.75,82.25
273,-40.25,82.25
274,-39.75,82.25
275,-39.25,82.25
276,-38.75,82.25
277,-38.25,82.25
278,-37.75,82.25
279,-37.25,82.25
280,-36.75,82.25
281,-36.25,82.25
282,-35.75,82.25
283,-35.25,82.25
284,-34.75,82.25
285,-34.25,82.25
286,-33.75,82.25
287,-33.25,82.25
288,-32.75,82.25
289,-32.25,82.25
290,-31.75,82.25
291,-31.25,82.25
292,-30.75,82.25
293,-30.25,82.25
294,-29.75,82.25
295,-29.25,82.25
296,-28.75,82.25
297,-28.25,82.25
298,-27.75,82.25
299,-27.25,82.25
300,-26.75,82.25
301,-26.25,82.25
302,-25.75,82.25
303,-25.25,82.25
304,-24.75,82.25
305,-24.25,82.25
306,-23.75,82.25
307,-23.25,82.25
308,-22.75,82.25
309,-22.25,82.25
310,-20.75,82.25
311,-20.25,82.25
312,-19.25,82.25
313,-18.75,82.25
314,-91.75,81.75
315,-91.25,81.75
316,-90.75,81.75
317,-90.25,81.75
318,-89.75,81.75
319,-89.25,81.75
320,-88.75,81.75
321,-88.25,81.75
322,-87.75,81.75
323,-87.25,81.75
324,-86.75,81.75
325,-86.25,81.75
326,-85.75,81.75
327,-85.25,81.75
328,-84.75,81.75
329,-84.25,81.75
330,-83.75,81.75
331,-83.25,81.75
332,-82.75,81.75
333,-82.25,81.75
334,-81.75,81.75
335,-81.25,81.75
336,-80.75,81.75
337,-80.25,81.75
338,-79.75,81.75
339,-79.25,81.75
340,-78.75,81.75
341,-78.25,81.75
342,-77.75,81.75
343,-77.25,81.75
344,-76.75,81.75
345,-76.25,81.75
346,-75.75,81.75
347,-75.25,81.75
348,-74.75,81.75
349,-74.25,81.75
350,-73.75,81.75
351,-73.25,81.75
352,-72.75,81.75
353,-72.25,81.75
354,-71.75,81.75
355,-71.25,81.75
356,-70.75,81.75
357,-70.25,81.75
358,-69.75,81.75
359,-69.25,81.75
360,-68.75,81.75
361,-68.25,81.75
362,-67.75,81.75
363,-67.25,81.75
364,-66.75,81.75
365,-66.25,81.75
366,-65.75,81.75
367,-65.25,81.75
368,-64.75,81.75
369,-64.25,81.75
370,-63.75,81.75
371,-63.25,81.75
372,-62.75,81.75
373,-61.75,81.75
374,-61.25,81.75
375,-60.75,81.75
376,-60.25,81.75
377,-59.75,81.75
378,-59.25,81.75
379,-58.75,81.75
380,-58.25,81.75
381,-57.75,81.75
382,-57.25,81.75
383,-56.75,81.75
384,-56.25,81.75
385,-55.75,81.75
386,-55.25,81.75
387,-54.75,81.75
388,-54.25,81.75
389,-53.75,81.75
390,-53.25,81.75
391,-52.75,81.75
392,-52.25,81.75
393,-51.75,81.75
394,-51.25,81.75
395,-50.75,81.75
396,-50.25,81.75
397,-49.75,81.75
398,-49.25,81.75
399,-48.75,81.75
400,-48.25,81.75
401,-47.75,81.75
402,-47.25,81.75
403,-46.75,81.75
404,-46.25,81.75
405,-45.75,81.75
406,-45.25,81.75
407,-44.75,81.75
408,-44.25,81.75
409,-43.75,81.75
410,-43.25,81.75
411,-42.75,81.75
412,-42.25,81.75
413,-41.75,81.75
414,-41.25,81.75
415,-40.75,81.75
416,-40.25,81.75
417,-39.75,81.75
418,-39.25,81.75
419,-38.75,81.75
420,-38.25,81.75
421,-37.75,81.75
422,-37.25,81.75
423,-36.75,81.75
424,-36.25,81.75
425,-35.75,81.75
426,-35.25,81.75
427,-34.75,81.75
428,-34.25,81.75
429,-33.75,81.75
430,-33.25,81.75
431,-32.75,81.75
432,-32.25,81.75
433,-31.75,81.75
434,-31.25,81.75
435,-30.75,81.75
436,-30.25,81.75
437,-29.75,81.75
438,-29.25,81.75
439,-28.75,81.75
440,-28.25,81.75
441,-27.75,81.75
442,-27.25,81.75
443,-26.75,81.75
444,-26.25,81.75
445,-25.75,81.75
446,-25.25,81.75
